Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Cross-Cultural Design. Interaction Design Across Cultures","Lecture Notes in Computer Science","","","","10.1007/978-3-031-06038-0","Prof. Pei-Luen Patrick Rau","2022","http://link.springer.com/book/10.1007/978-3-031-06038-0","Book"
"The Palgrave Handbook of Environmental Labour Studies","","","","","10.1007/978-3-030-71909-8","Nora RäthzelProf. Dimitris StevisDavid Uzzell","2021","http://link.springer.com/book/10.1007/978-3-030-71909-8","Book"
"Encyclopedia of Gerontology and Population Aging","","","","","10.1007/978-3-030-22009-9","Danan GuMatthew E. Dupre","2021","http://link.springer.com/referencework/10.1007/978-3-030-22009-9","ReferenceWork"
"New Paths of Entrepreneurship Development","Studies on Entrepreneurship, Structural Change and Industrial Dynamics","","","","10.1007/978-3-319-96032-6","Luísa Cagica CarvalhoConceição RegoMaria Raquel LucasM. Isabel Sánchez-HernándezAdriana Backx Noronha Viana","2019","http://link.springer.com/book/10.1007/978-3-319-96032-6","Book"
"Ecological Protection","Urban Practices from Delicacy Management to Governance in Contemporary China","","","","10.1007/978-981-15-4011-0_3","Shengquan CheZiyang Lou","2021","http://link.springer.com/chapter/10.1007/978-981-15-4011-0_3","Chapter"
"Blockchain and Ethereum Smart Contract Solution Development","","","","","10.1007/978-1-4842-8164-2","Weijia ZhangTej Anand","2022","http://link.springer.com/book/10.1007/978-1-4842-8164-2","Book"
"Context-Aware Systems and Applications","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","","","","10.1007/978-3-030-93179-7","Phan Cong VinhAbdur Rakib","2021","http://link.springer.com/book/10.1007/978-3-030-93179-7","Book"
"Sustainable development and cryptocurrencies as private money","Journal of Industrial and Business Economics","","47","1","10.1007/s40812-019-00139-5","John VazKym Brown","2020","http://link.springer.com/article/10.1007/s40812-019-00139-5","Article"
"Official Governance and Self-governance","","","","","10.1007/978-981-19-6601-9","Qingzhi Zhou","2022","http://link.springer.com/book/10.1007/978-981-19-6601-9","Book"
"Understanding the Dynamics of New Normal for Supply Chains","Understanding Complex Systems","","","","10.1007/978-3-031-07333-5","Hassan Qudrat-Ullah","2022","http://link.springer.com/book/10.1007/978-3-031-07333-5","Book"
"Cryptofinance and Mechanisms of Exchange","Contributions to Management Science","","","","10.1007/978-3-030-30738-7","Stéphane GoutteKhaled GuesmiSamir Saadi","2019","http://link.springer.com/book/10.1007/978-3-030-30738-7","Book"
"A Multi-Perspective Framework for Research on (Sustainable) Autonomous Systems","Business & Information Systems Engineering","","64","3","10.1007/s12599-022-00752-0","Roman BeckJens DibbernMartin Wiener","2022","http://link.springer.com/article/10.1007/s12599-022-00752-0","Article"
"The Palgrave Handbook of Corporate Social Responsibility","","","","","10.1007/978-3-030-42465-7","David CrowtherShahla Seifi","2021","http://link.springer.com/referencework/10.1007/978-3-030-42465-7","ReferenceWork"
"Quality Education","Encyclopedia of the UN Sustainable Development Goals","","","","10.1007/978-3-319-95870-5","Walter Leal FilhoAnabela Marisa AzulLuciana BrandliPinar Gökçin ÖzuyarTony Wall","2020","http://link.springer.com/referencework/10.1007/978-3-319-95870-5","ReferenceWork"
"Towards green Internet of Things (IoT) for a sustainable future in Gulf Cooperation Council countries: current practices, challenges and future prospective","Wireless Networks","","","","10.1007/s11276-022-03133-3","Mahmoud A. AlbreemAbdul Manan SheikhMohammed J. K. BashirAyman A. El-Saleh","2022","http://link.springer.com/article/10.1007/s11276-022-03133-3","Article"
"Dynamics in Logistics","Lecture Notes in Logistics","","","","10.1007/978-3-030-44783-0","Prof. Dr. Michael FreitagProf. Dr. Dr. h. c. Hans-Dietrich HaasisProf. Dr. Herbert KotzabDr. Jürgen Pannek","2020","http://link.springer.com/book/10.1007/978-3-030-44783-0","Book"
"Financial Cryptography and Data Security. FC 2021 International Workshops","Lecture Notes in Computer Science","","","","10.1007/978-3-662-63958-0","Matthew BernhardDr. Andrea BraccialiLewis GudgeonThomas HainesAriah Klages-MundtProf. Shin'ichiro MatsuoDaniel PerezProf. Massimiliano SalaSam Werner","2021","http://link.springer.com/book/10.1007/978-3-662-63958-0","Book"
"The New Social and Impact Economy","Nonprofit and Civil Society Studies","","","","10.1007/978-3-030-68295-8","Benjamin GidronAnna Domaradzka","2021","http://link.springer.com/book/10.1007/978-3-030-68295-8","Book"
"A sustainable University: Digital Transformation and Beyond","Education and Information Technologies","","27","7","10.1007/s10639-022-10968-y","Dr Mohamed Ashmel Mohamed HashimProf Issam TlemsaniProf Robin Duncan Matthews","2022","http://link.springer.com/article/10.1007/s10639-022-10968-y","Article"
"Proceedings of Third International Conference on Computing, Communications, and Cyber-Security","Lecture Notes in Networks and Systems","","","","10.1007/978-981-19-1142-2","Pradeep Kumar SinghSławomir T. WierzchońSudeep TanwarJoel J. P. C. RodriguesMaria Ganzha","2023","http://link.springer.com/book/10.1007/978-981-19-1142-2","Book"
"Proceedings of Seventh International Congress on Information and Communication Technology","Lecture Notes in Networks and Systems","","","","10.1007/978-981-19-2397-5","Dr. Xin-She YangDr. Simon SherrattDr. Nilanjan DeyDr. Amit Joshi","2023","http://link.springer.com/book/10.1007/978-981-19-2397-5","Book"
"Narratives and New Voices from India","Communication, Culture and Change in Asia","","","","10.1007/978-981-19-2496-5","Alankar KaushikAbir Suchiang","2022","http://link.springer.com/book/10.1007/978-981-19-2496-5","Book"
"Stablecoins & The Decentralized Organization","Blockchain, Artificial Intelligence and Financial Services","","","","10.1007/978-3-030-29761-9_5","Sean Stein Smith","2020","http://link.springer.com/chapter/10.1007/978-3-030-29761-9_5","Chapter"
"General Theory of Social Governance in China","Understanding China","","","","10.1007/978-981-16-5715-3","Liqun Wei","2021","http://link.springer.com/book/10.1007/978-981-16-5715-3","Book"
"The Role of Blockchain, Big Data, Internet of Things and Artificial Intelligence for Transformative Climate Action","Planning Climate Smart and Wise Cities","","","","10.1007/978-3-030-80165-6_2","Harald Rauter","2022","http://link.springer.com/chapter/10.1007/978-3-030-80165-6_2","Chapter"
"Regulation of Cryptocurrencies and Blockchain Technologies","Palgrave Studies in Financial Services Technology","","","","10.1007/978-3-031-21812-5","Rosario Girasa","2023","http://link.springer.com/book/10.1007/978-3-031-21812-5","Book"
"Sustainable Digital Transformation","Lecture Notes in Information Systems and Organisation","","","","10.1007/978-3-031-15770-7","Stefano ZaRobert WinterAlessandra Lazazzara","2023","http://link.springer.com/book/10.1007/978-3-031-15770-7","Book"
"HCI International 2022 - Late Breaking Papers. Design, User Experience and Interaction","Lecture Notes in Computer Science","","","","10.1007/978-3-031-17615-9","Masaaki KurosuSakae YamamotoHirohiko MoriMarcelo M. SoaresElizabeth RosenzweigAaron MarcusPei-Luen Patrick RauDon HarrisWen-Chin Li","2022","http://link.springer.com/book/10.1007/978-3-031-17615-9","Book"
"Trends on Construction in the Digital Era","Lecture Notes in Civil Engineering","","","","10.1007/978-3-031-20241-4","António Gomes CorreiaMiguel AzenhaPaulo J. S. CruzPaulo NovaisPaulo Pereira","2023","http://link.springer.com/book/10.1007/978-3-031-20241-4","Book"
"The Next Wave of Sociotechnical Design","Lecture Notes in Computer Science","","","","10.1007/978-3-030-82405-1","Leona Chandra KruseProf. Dr. Stefan SeidelGeir Inge Hausvik","2021","http://link.springer.com/book/10.1007/978-3-030-82405-1","Book"
"Digital Marketplaces Unleashed","","","","","10.1007/978-3-662-49275-8","Prof. Dr. Claudia Linnhoff-PopienDr. Ralf SchneiderMichael Zaddach","2018","http://link.springer.com/book/10.1007/978-3-662-49275-8","Book"
"Encyclopedia of Sustainability in Higher Education","","","","","10.1007/978-3-030-11352-0","Walter Leal Filho","2019","http://link.springer.com/referencework/10.1007/978-3-030-11352-0","ReferenceWork"
"Peace, Justice and Strong Institutions","Encyclopedia of the UN Sustainable Development Goals","","","","10.1007/978-3-319-95960-3","Walter Leal FilhoAnabela Marisa AzulLuciana BrandliAmanda Lange SalviaPinar Gökçin ÖzuyarTony Wall","2021","http://link.springer.com/referencework/10.1007/978-3-319-95960-3","ReferenceWork"
"Conserving Biocultural Landscapes in Malaysia and Indonesia for Sustainable Development","","","","","10.1007/978-981-16-7243-9","Saiful Arif AbdullahProf. Dr. Amin Setyo LeksonoProf. Dr. Sun-Kee Hong","2022","http://link.springer.com/book/10.1007/978-981-16-7243-9","Book"
"Cultural Sustainable Tourism","Advances in Science, Technology & Innovation","","","","10.1007/978-3-031-10800-6","Ante MandićRui Alexandre CastanhoUglješa Stankov","2022","http://link.springer.com/book/10.1007/978-3-031-10800-6","Book"
"[   ] With Design: Reinventing Design Modes","","","","","10.1007/978-981-19-4472-7","Gerhard BruynsHuaxin Wei","2022","http://link.springer.com/book/10.1007/978-981-19-4472-7","Book"
"Blockchain Technologies in the Textile and Fashion Industry","Textile Science and Clothing Technology","","","","10.1007/978-981-19-6569-2","Subramanian Senthilkannan Muthu","2022","http://link.springer.com/book/10.1007/978-981-19-6569-2","Book"
"Third International Handbook of Globalisation, Education and Policy Research","","","","","10.1007/978-3-030-66003-1","Joseph Zajda","2021","http://link.springer.com/book/10.1007/978-3-030-66003-1","Book"
"Crowd-Based Business Models","","","","","10.1007/978-3-030-77083-9","Dr. Rajagopal","2021","http://link.springer.com/book/10.1007/978-3-030-77083-9","Book"
"Explore Business, Technology Opportunities and Challenges ‎After the Covid-19 Pandemic","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-08954-1","Assist. Prof. Bahaaeddin AlareeniProf. Dr. Allam Hamdan","2023","http://link.springer.com/book/10.1007/978-3-031-08954-1","Book"
"Enabling the Internet of Value","Future of Business and Finance","","","","10.1007/978-3-030-78184-2","Nikhil VadgamaDr. Jiahua XuDr. Paolo Tasca","2022","http://link.springer.com/book/10.1007/978-3-030-78184-2","Book"
"Advances in Computing and Data Sciences","Communications in Computer and Information Science","","","","10.1007/978-3-030-81462-5","Mayank SinghProf. Dr. Vipin TyagiDr. P. K. GuptaProf. Jan FlusserTuncer ÖrenV. R. Sonawane","2021","http://link.springer.com/book/10.1007/978-3-030-81462-5","Book"
"Software Business","Lecture Notes in Business Information Processing","","","","10.1007/978-3-030-91983-2","Xiaofeng WangAntonio MartiniDr. Anh Nguyen-DucDr. Viktoria Stray","2021","http://link.springer.com/book/10.1007/978-3-030-91983-2","Book"
"Innovations in Digital Economy","Communications in Computer and Information Science","","","","10.1007/978-3-030-84845-3","Dmitrii RodionovTatiana KudryavtsevaAngi SkhvedianiMohammed Ali Berawi","2021","http://link.springer.com/book/10.1007/978-3-030-84845-3","Book"
"Digital Communication and Learning","Educational Communications and Technology Yearbook","","","","10.1007/978-981-16-8329-9","Anna Wing Bo TsoDr. Alex Chi-keung ChanWendy Wing Lam ChanPeter Edward SidorkoWill W. K. Ma","2022","http://link.springer.com/book/10.1007/978-981-16-8329-9","Book"
"Digitalization of Power Markets and Systems Using Energy Informatics","","","","","10.1007/978-3-030-83301-5","Dr. Umit CaliDr. Murat KuzluDr. Manisa PipattanasompornDr. James KempfDr. Linquan Bai","2021","http://link.springer.com/book/10.1007/978-3-030-83301-5","Book"
"Democratic Decentralization, Local Governance and Sustainable Development","Advances in African Economic, Social and Political Development","","","","10.1007/978-3-031-12378-8","Prince Osei-Wusu AdjeiSamuel Adu-Gyamfi","2022","http://link.springer.com/book/10.1007/978-3-031-12378-8","Book"
"Intelligent Sustainable Systems","Lecture Notes in Networks and Systems","","","","10.1007/978-981-16-6309-3","Prof. Atulya K. NagarProf. Dharm Singh JatDr. Gabriela Marín-RaventósDr. Durgesh Kumar Mishra","2022","http://link.springer.com/book/10.1007/978-981-16-6309-3","Book"
"Climate Resilience and Environmental Sustainability Approaches","","","","","10.1007/978-981-16-0902-2","Dr. Anubha KaushikDr. C. P. KaushikDr. S. D. Attri","2021","http://link.springer.com/book/10.1007/978-981-16-0902-2","Book"
"Governing the Sustainable Development Goals","Sustainable Development Goals Series","","","","10.1007/978-3-031-03938-6","Dr. Justyna Bandola-GillDr. Sotiria GrekMarlee Tichenor","2022","http://link.springer.com/book/10.1007/978-3-031-03938-6","Book"
"Blockchain in Life Sciences","Blockchain Technologies","","","","10.1007/978-981-19-2976-2","Wendy Charles","2022","http://link.springer.com/book/10.1007/978-981-19-2976-2","Book"
"Introduction","Climate-Drought Resilience in Extreme Environments","","","","10.1007/978-3-030-45889-8_1","V. Ratna ReddyY. V. Malla ReddyM. Srinivasa Reddy","2020","http://link.springer.com/chapter/10.1007/978-3-030-45889-8_1","Chapter"
"Computational Science and Its Applications – ICCSA 2021","Lecture Notes in Computer Science","","","","10.1007/978-3-030-86973-1","Prof. Dr. Osvaldo GervasiBeniamino MurganteDr. Sanjay MisraDr. Chiara GarauIvan BlečićDavid TaniarBernady O. ApduhanAna Maria A. C. RochaEufemia TarantinoCarmelo Maria Torre","2021","http://link.springer.com/book/10.1007/978-3-030-86973-1","Book"
"New Realities, Mobile Systems and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-96296-8","Michael E. AuerProf. Dr. Thrasyvoulos Tsiatsos","2022","http://link.springer.com/book/10.1007/978-3-030-96296-8","Book"
"Green Village and Town Construction in China","","","","","10.1007/978-981-16-2098-0","Prof. Xiaoming WangDr. Hong Hua","2021","http://link.springer.com/book/10.1007/978-981-16-2098-0","Book"
"The Marriage of Technology, Markets and Sustainable (and) Social Finance: Insights from ICO Markets for a New Regulatory Framework","European Business Organization Law Review","","20","1","10.1007/s40804-019-00138-y","Iris H. Y. ChiuEdward F. Greene","2019","http://link.springer.com/article/10.1007/s40804-019-00138-y","Article"
"Encyclopedia of Teacher Education","","","","","10.1007/978-981-16-8679-5","Michael A. Peters","2022","http://link.springer.com/referencework/10.1007/978-981-16-8679-5","ReferenceWork"
"Ethics and Sustainability in Accounting and Finance, Volume III","Accounting, Finance, Sustainability, Governance & Fraud: Theory and Application","","","","10.1007/978-981-33-6636-7","Kıymet Tunca Çalıyurt","2021","http://link.springer.com/book/10.1007/978-981-33-6636-7","Book"
"Fintech Dictionary","Contributions to Finance and Accounting","","","","10.1007/978-3-658-36056-6","Prof. Dr. Rainer AltDr. Stefan Huch","2022","http://link.springer.com/book/10.1007/978-3-658-36056-6","Book"
"Proceedings of the 26th International Symposium on Advancement of Construction Management and Real Estate","Lecture Notes in Operations Research","","","","10.1007/978-981-19-5256-2","Hongling GuoDongping FangWeisheng LuYi Peng","2022","http://link.springer.com/book/10.1007/978-981-19-5256-2","Book"
"From the Internet of Things to the Internet of Ideas: The Role of Artificial Intelligence","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-17746-0","Abdalmuttaleb M. A. Musleh Al-SartawiAnjum RazzaqueMuhammad Mustafa Kamal","2023","http://link.springer.com/book/10.1007/978-3-031-17746-0","Book"
"Advances in Practical Applications of Agents, Multi-Agent Systems, and Complex Systems Simulation. The PAAMS Collection","Lecture Notes in Computer Science","","","","10.1007/978-3-031-18192-4","Frank DignumPhilippe MathieuJuan Manuel CorchadoFernando De La Prieta","2022","http://link.springer.com/book/10.1007/978-3-031-18192-4","Book"
"A–D","Fintech Dictionary","","","","10.1007/978-3-658-36056-6_1","Rainer AltStefan Huch","2022","http://link.springer.com/chapter/10.1007/978-3-658-36056-6_1","Chapter"
"The Dynamics of Intellectual Capital in Current Era","","","","","10.1007/978-981-16-1692-1","Prof. Muhammad ShahbazProf. Muhammad Shujaat MubarikAssist. Prof. Tarique Mahmood","2021","http://link.springer.com/book/10.1007/978-981-16-1692-1","Book"
"Financial Markets Evolution","Palgrave Macmillan Studies in Banking and Financial Institutions","","","","10.1007/978-3-030-71337-9","Galina Panova","2021","http://link.springer.com/book/10.1007/978-3-030-71337-9","Book"
"Multiplicity and Interdisciplinarity","Contemporary Systems Thinking","","","","10.1007/978-3-030-71877-0","Gianfranco Minati","2021","http://link.springer.com/book/10.1007/978-3-030-71877-0","Book"
"The Visible Hand of corporate entrepreneurship in state-owned enterprises: a longitudinal study of the Spanish National Postal Operator","International Entrepreneurship and Management Journal","","18","3","10.1007/s11365-020-00700-y","Águeda Gil-LópezUnai ArzubiagaElena San RománAlfredo De Massis","2022","http://link.springer.com/article/10.1007/s11365-020-00700-y","Article"
"Medicinal and Aromatic Plants of India Vol. 1","Medicinal and Aromatic Plants of the World","","","","10.1007/978-3-030-98701-5","Prof. Ákos MáthéProf. Irfan Ali Khan","2022","http://link.springer.com/book/10.1007/978-3-030-98701-5","Book"
"Logistics Management","Lecture Notes in Logistics","","","","10.1007/978-3-030-85843-8","Prof. Dr. Udo BuscherProf. Dr. Rainer LaschProf. Dr. Jörn Schönberger","2021","http://link.springer.com/book/10.1007/978-3-030-85843-8","Book"
"Auditing Ecosystem and Strategic Accounting in the Digital Era","Contributions to Finance and Accounting","","","","10.1007/978-3-030-72628-7","Tamer AksoyProf. Dr. Umit Hacioglu","2021","http://link.springer.com/book/10.1007/978-3-030-72628-7","Book"
"Climate Change","Springer Climate","","","","10.1007/978-3-030-92782-0","Prof. Dr. Seema RaniPh.D. Rajesh Kumar","2022","http://link.springer.com/book/10.1007/978-3-030-92782-0","Book"
"Proceedings on 18th International Conference on Industrial Systems – IS’20","Lecture Notes on Multidisciplinary Industrial Engineering","","","","10.1007/978-3-030-97947-8","Assoc. Prof. Bojan LalicAssist. Prof. Danijela GracaninAssist. Prof. Nemanja TasicAssoc. Prof. Nenad Simeunović","2022","http://link.springer.com/book/10.1007/978-3-030-97947-8","Book"
"International Scientific Siberian Transport Forum TransSiberia - 2021","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-96383-5","Aleksey ManakovArkadii Edigarian","2022","http://link.springer.com/book/10.1007/978-3-030-96383-5","Book"
"Digital Business Strategies in Blockchain Ecosystems","Contributions to Management Science","","","","10.1007/978-3-030-29739-8","Prof. Dr. Umit Hacioglu","2020","http://link.springer.com/book/10.1007/978-3-030-29739-8","Book"
"The Political Economy of Natural Resource Funds","International Political Economy Series","","","","10.1007/978-3-030-78251-1","Eyene OkpanachiReeta Chowdhari Tremblay","2021","http://link.springer.com/book/10.1007/978-3-030-78251-1","Book"
"The Constant Search for New Sustainable Funding Sources for Public Universities","International Experience in Developing the Financial Resources of Universities","","","","10.1007/978-3-030-78893-3_4","Peter William Mathieson","2021","http://link.springer.com/chapter/10.1007/978-3-030-78893-3_4","Chapter"
"Prospects for REDD+ Financing in Promoting Forest Sustainable Management in HKH","Carbon Management for Promoting Local Livelihood in the Hindu Kush Himalayan (HKH) Region","","","","10.1007/978-3-030-20591-1_13","Shambhavi BasnetJagriti ChandShuvani ThapaBhaskar Singh Karky","2020","http://link.springer.com/chapter/10.1007/978-3-030-20591-1_13","Chapter"
"Interdisciplinarity and Sustainable Development","Encyclopedia of Sustainability in Higher Education","","","","10.1007/978-3-030-11352-0_215","Ann Crabbé","2019","http://link.springer.com/referenceworkentry/10.1007/978-3-030-11352-0_215","ReferenceWorkEntry"
"The Role of Social Financing in Sustainable Development: The Case of Nigerian Co-operatives","Innovations in Social Finance","","","","10.1007/978-3-030-72535-8_19","Ajibola Anthony Akanji","2021","http://link.springer.com/chapter/10.1007/978-3-030-72535-8_19","Chapter"
"Influence of Collaboration in Sustainable Manufacturing Networks","Collaborative Networks in Digitalization and Society 5.0","","","","10.1007/978-3-031-14844-6_1","Paula GraçaLuis M. Camarinha-Matos","2022","http://link.springer.com/chapter/10.1007/978-3-031-14844-6_1","Chapter"
"Interdisciplinarity and Sustainable Development","Encyclopedia of Sustainability in Higher Education","","","","10.1007/978-3-319-63951-2_215-1","Ann Crabbé","2019","http://link.springer.com/referenceworkentry/10.1007/978-3-319-63951-2_215-1","ReferenceWorkEntry"
"Urban agriculture can transform the sustainable food security for urban dwellers in Pakistan","GeoJournal","","86","5","10.1007/s10708-020-10208-1","Farah ZulfiqarJie ShangSumaira YasmeenMuhammad Umair WattooMuhammad NasrullahQamar Alam","2021","http://link.springer.com/article/10.1007/s10708-020-10208-1","Article"
"Blockchain-Based Location Sharing in 5G Open RAN Infrastructure for Sustainable Communities","Intelligent Sustainable Systems","","","","10.1007/978-981-16-6309-3_54","Mojtaba EnayatiS. Sree LekshmiTom TobyMakarand PrabhuK. P. RahulS. ParvathySeshaiah Ponnekanti","2022","http://link.springer.com/chapter/10.1007/978-981-16-6309-3_54","Chapter"
"Inclusive Business and Sustainable Rural Development in India: A Case Study of the AMUL Community-Based Food Chain","Management for Sustainable and Inclusive Development in a Transforming Asia","","","","10.1007/978-981-15-8195-3_3","Naoto Shimokado","2021","http://link.springer.com/chapter/10.1007/978-981-15-8195-3_3","Chapter"
"Blockchain for Good? Digital Ledger Technology and Sustainable Development Goals","Handbook of Sustainability and Social Science Research","","","","10.1007/978-3-319-67122-2_7","Richard AdamsBeth KewellGlenn Parry","2018","http://link.springer.com/chapter/10.1007/978-3-319-67122-2_7","Chapter"
"Social Innovation Through Tradition: The Many Paths to Sustainable Development","Handbook of Business Legitimacy","","","","10.1007/978-3-030-14622-1_118","Milena ValevaHagai KatzYotam Lurie","2020","http://link.springer.com/referenceworkentry/10.1007/978-3-030-14622-1_118","ReferenceWorkEntry"
"Blockchain for Growth: Applying DLTs to the UN Sustainable Development Goals","Disintermediation Economics","","","","10.1007/978-3-030-65781-9_6","Jane Thomason","2021","http://link.springer.com/chapter/10.1007/978-3-030-65781-9_6","Chapter"
