"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Blockchain-based E-waste Management in 5G Smart Communities","A. Dua; A. Dutta; N. Zaman; N. Kumar","Department of Computer Science and Information Systems, BITS Pilani, Pilani, India; Department of Computer Science and Information Systems, BITS Pilani, Pilani, India; Department of Computer Science and Information Systems, BITS Pilani, Pilani, India; Computer Science & Engineering Department, Thapar University, Patiala, Punjab, India","IEEE INFOCOM 2020 - IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS)","10 Aug 2020","2020","","","195","200","With our increasing reliance on technology, the amount of e-waste generated after their life cycle ends is increasing at an exponential rate. Going by this rate, we'll have an equivalent amount of carbon footprint as the transportation industry, only by the smartphone segment by 2035. We can imagine the total carbon footprint if we extend this to all the other numerous electronic gadgets we use. With the increasing volume of e-waste, the chances of these toxic non-biodegradable elements polluting the environment are astronomical. This problem is being addressed by various nations and laws to regulate the waste have been passed in recent years. The Indian Government has placed E-Waste (Management and Handling) Rules in 2011 which forms a part of the Environment Protection Act to ensure coherent disposal of e-waste. However, a rather large percentage of e-waste in India is still not regulated and it runs vastly by unorganized sectors. We provide a solution to the above problem by proposing an efficient e-waste management technique by using blockchain in the 5G scenario. Our solution keeps track of the e-waste generated and we provide an incentive-based system where users are encouraged to channelize their e-waste through government regulated agencies which efficiently dispose of them in an environment-friendly manner. We propose a public-private partnership (PPP) model for implementing this, which can generate thousands of jobs by organizing this unregulated sector with huge underlying potential.","","978-1-7281-8695-5","10.1109/INFOCOMWKSHPS50562.2020.9162845","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9162845","5G;blockchain;distributed ledger;e-waste;smart contract","Electronic waste;Contracts;Consumer electronics;Government;Stakeholders;Plastics","5G mobile communication;air pollution;cryptography;environmental legislation;environmental science computing;government policies;public administration;smart phones;toxicology;waste disposal;waste handling","PPP;environment-friendly manner;public-private partnership model;government regulated agencies;incentive-based system;India;environment protection act;toxic nonbiodegradable elements;electronic gadgets;smartphone segment;transportation industry;5G smart communities;blockchain-based e-waste management;e-waste disposal;total carbon footprint","","6","","21","IEEE","10 Aug 2020","","","IEEE","IEEE Conferences"
"From Features Engineering to Scenarios Engineering for Trustworthy AI: I&I, C&C, and V&V","X. Li; P. Ye; J. Li; Z. Liu; L. Cao; F. -Y. Wang","The Peng Cheng Laboratory, Shenzhen, China; Chinese Academy of Sciences, Beijing, China; Chinese Academy of Sciences, Beijing, China; North Automatic Control Technology Institute, Taiyuan, China; University of Technology Sydney, Sydney, NSW, Australia; Chinese Academy of Sciences, Beijing, China","IEEE Intelligent Systems","20 Sep 2022","2022","37","4","18","26","Artificial intelligence (AI)’s rapid development has produced a variety of state-of-the-art models and methods that rely on network architectures and features engineering. However, some AI approaches achieve high accurate results only at the expense of interpretability and reliability. These problems may easily lead to bad experiences, lower trust levels, and systematic or even catastrophic risks. This article introduces the theoretical framework of scenarios engineering for building trustworthy AI techniques. We propose six key dimensions, including intelligence and index, calibration and certification, and verification and validation to achieve more robust and trusting AI, and address issues for future research directions and applications along this direction.","1941-1294","","10.1109/MIS.2022.3197950","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9896801","","Systematics;Reliability theory;Network architecture;Reliability engineering;Calibration;Artificial intelligence","artificial intelligence;security of data;trusted computing","features engineering;scenarios engineering;artificial intelligence;network architectures;AI approaches;reliability;trust levels;systematic risks;even catastrophic risks;trustworthy AI techniques;calibration;robust trusting AI","","6","","29","IEEE","20 Sep 2022","","","IEEE","IEEE Magazines"
"Design of a Smart Contract Based Autonomous Organization for Sustainable Software","A. Alimoğlu; C. Özturan","Department of Computer Engineering, Bogazici University, Istanbul, Turkey; Department of Computer Engineering, Bogazici University, Istanbul, Turkey","2017 IEEE 13th International Conference on e-Science (e-Science)","16 Nov 2017","2017","","","471","476","The emerging blockchain technologies have enabled development of crypto-currencies and autonomous smart contracts that can operate in decentralized and trustless settings. Distributed autonomous organizations can be implemented using smart contracts available on the Ethereum blockchain. In this paper, we propose a distributed autonomous software organization model and its Ethereum smart contract implementation called AutonomousSoftwareOrg for providing a continuously operating virtual organization for software development communities and users. AutonomousSoftwareOrg facilitates a funding mechanism based on crypto-currencies, a decision making mechanism based on voting and record keeping for software usage citations and executions. AutonomousSoftwareOrg is deployed and tested on our local Ethereum based blockchain system (http://ebloc.cmpe.boun.edu.tr). Its Solidity language source code is available at https://github.com/ebloc/AutonomousSoftwareOrg.","","978-1-5386-2686-3","10.1109/eScience.2017.76","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8109181","Blockchain;smart contract;autonomous organization;software;crowdfunding","Software;Contracts;Proposals;Cryptography;Decision making;Companies","contracts;cryptography;decision making;electronic money;Internet;software engineering","sustainable software;emerging blockchain technologies;crypto-currencies;autonomous smart contracts;distributed autonomous organizations;Ethereum blockchain;distributed autonomous software organization model;Ethereum smart contract implementation;virtual organization;software development communities;decision making mechanism;software usage citations;local Ethereum based blockchain system;https://github.com/ebloc/AutonomousSoftwareOrg","","6","","18","IEEE","16 Nov 2017","","","IEEE","IEEE Conferences"
"Blockchain Art and Blockchain Facilitated Art Economy: Two Ways in Which Art and Blockchain Collide","M. Suvajdzic; D. Stojanovic; J. Appelbaum","Digital Worlds Institute, University of Florida, Gainesville, FL, USA; Faculty of Media and Communications, Singidunum University, Belgrade, Serbia; ORBZ, LLC CEO/President, Gainesville, FL, USA","2019 4th Technology Innovation Management and Engineering Science International Conference (TIMES-iCON)","5 Mar 2020","2019","","","1","5","Exploring the blockchain as a subject, method, and medium, the world of art has embarked on a voyage of technological discovery unlike any other to date. So far, blockchain technology has been embraced by leaders in finance, computer sciences, transportation, bookkeeping and others, to bring efficiency, transparency, and added value to their products and services. The art world is exploring blockchain technology as well, experimenting with it as an art medium, creating art pieces that comment on it, and embracing it as a whole new way to revolutionize how art is being tracked, purchased and sold. In this paper we explore two vast categories in which art and blockchain collide today: (1) Blockchain art, and (2) Blockchain facilitated art economy.","","978-1-7281-3755-1","10.1109/TIMES-iCON47539.2019.9024403","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9024403","blockchain;blockchain application;digital art;art market","Innovation management;Conferences","art;cryptography","blockchain facilitated art economy;technological discovery;blockchain technology;art world;art medium;art pieces;blockchain collide today","","5","","18","IEEE","5 Mar 2020","","","IEEE","IEEE Conferences"
"Citizens Vote to Act: smart contracts for the management of water resources in smart cities","A. Bracciali; I. Chatzigiannakis; A. Vitaletti; M. Zecchini",University of Stirling; University of Rome “a Sapienza”; University of Rome “a Sapienza”; University of Rome “a Sapienza”,"2019 First International Conference on Societal Automation (SA)","23 Dec 2019","2019","","","1","8","Smart cities leverage Information and Communication Technologies (ICTs) to enhance the quality of urban services. However, it is nowadays clear that the success of a smart city largely depends on the level of engagement of its citizens. In this paper we explore to what extent disruptive blockchain technologies can be used to incentivise the democratic participation of citizen. The investigated approach extends the standard IoT cycle 1) sense data, 2) cloudify and elaborate them, and 3) push information to the users. Here, the user takes an active role by means of data-informed votes on policies, therefore influencing behaviours. We illustrate such an approach by means of a proof-of-concept decentralised application (dApp) supporting the negotiation of polices for the management of urban water resources. The dApp consists of a smart contract that manages the execution of other smart contracts (the policies) according to the data-driven choices of the community. This use case demonstrates how suitably blockchain technologies can support fair and safe access to data and user engagement in smart cities.","","978-1-7281-3345-4","10.1109/SA47457.2019.8938093","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8938093","Smart cities;Blockchain technologies;IoT;dApps;Smart Contracts","Smart contracts;Water resources;Blockchain;Smart cities;Proposals","cloud computing;decision making;Internet;Internet of Things;network theory (graphs);traffic engineering computing;water resources","smart contract;smart city;data-informed votes;urban water resources;standard IoT cycle;disruptive blockchain technologies","","3","","27","IEEE","23 Dec 2019","","","IEEE","IEEE Conferences"
"Human Centric Digital Transformation and Operator 4.0 for the Oil and Gas Industry","T. R. Wanasinghe; T. Trinh; T. Nguyen; R. G. Gosine; L. A. James; P. J. Warrian","Faculty of Engineering and Applied Science, Memorial University of Newfoundland, St. John’s, NL, Canada; Faculty of Engineering and Applied Science, Memorial University of Newfoundland, St. John’s, NL, Canada; Department of Mechanical and Industrial Engineering, Faculty of Applied Science and Engineering, University of Toronto, Toronto, Canada; Innovation Policy Lab, Munk School of Global Affairs and Public Policy, University of Toronto, Toronto, Canada; Faculty of Engineering and Applied Science, Memorial University of Newfoundland, St. John’s, NL, Canada; Innovation Policy Lab, Munk School of Global Affairs and Public Policy, University of Toronto, Toronto, Canada","IEEE Access","18 Aug 2021","2021","9","","113270","113291","Working at an oil and gas facility, such as a drilling rig, production facility, processing facility, or storage facility, involves various challenges, including health and safety risks. It is possible to leverage emerging digital technologies such as smart sensors, wearable or mobile devices, big data analytics, cloud computing, extended reality technologies, robotic systems, and drones to mitigate the challenges faced by oil and gas workers. While these technologies are not new to the oil and gas industry, most of its existing digital transformation initiatives follow business or process-centric approaches, in which the critical driver of the technology adoption is the enhancement of production, efficiency, and revenue. As a result, they may not address the challenges faced by the workers. As oil and gas workers are among the essential assets in the oil and gas industry, it is vital to address the challenges faced by these workers. This paper proposes a human-centric digital transformational framework for the oil and gas industry to deploy existing digital technologies to enhance their workers' health, safety, and working conditions. The paper outlines the critical challenges faced by oilfield workers, introduces a system architecture to implements a human-centric digital transformation, discusses the opportunities of the proposed framework, and summarizes the key impediment for the proposed framework.","2169-3536","","10.1109/ACCESS.2021.3103680","Research Project by the Petroleum Research Newfoundland and Labrador (PRNL); Atlantic Canada Opportunities Agency (ACOA), Mitacs; University of Toronto’s Munk School of Global Affairs and Public Policy; Memorial University of Newfoundland and Labrador; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9509417","Big-data analytics;cloud computing;digitalization;digital twin;industry 4.0;Industry Internet of Things (IIoT);oil and gas industry;operator 4.0;virtual reality;wearable technologies","Digital transformation;Oils;Machinery;Personnel;Natural gas industry;Drilling machines;Companies","Big Data;cloud computing;data analysis;gas industry;intelligent sensors;mobile computing;petroleum industry;production facilities","human centric digital transformation;gas facility;production facility;storage facility;digital technologies;extended reality technologies;gas workers;gas industry;existing digital transformation initiatives;human-centric digital transformational framework;human-centric digital transformation","","3","","220","CCBY","9 Aug 2021","","","IEEE","IEEE Journals"
"Crypto-governance in Stock Exchanges: Towards Efficient and Self-regulated Trading System","Richard; A. Trisetyarso; W. Suparta; C. -H. Kang; B. S. Abbas","Information System Department, Bina Nusantara University, Jakarta, Indonesia; Computer Science Department, Bina Nusantara University, Jakarta, Indonesia; Computer Science Department, Bina Nusantara University, Jakarta, Indonesia; Computer Science Department, Bina Nusantara University, Jakarta, Indonesia; Computer Science Department, Bina Nusantara University, Jakarta, Indonesia","2019 International Conference on contemporary Computing and Informatics (IC3I)","6 Apr 2020","2019","","","192","197","Crypto-governance is gaining traction in stocks, commodities, and other derivatives trading in the exchange market, especially when products in the market move towards hyper liquidity. The governance enables an opportunity to share distributed and cryptographic-protected trade platform among trade parties. The crypto-governance perspective is trying to converge various innovations in blockchain applications. When designing crypto-governance, the scheme needs to provide cohesive decision making derived from diverse parties. This research targets to determine how crypto-governance perspective could benefit the stock exchange in regulating and providing a self-regulated trading system efficiently.","","978-1-7281-5529-6","10.1109/IC3I46837.2019.9055638","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9055638","Crypto-governance;Blockchain;Stock Exchange;Trading System","Computer science;Cryptography;Blockchain;Conferences;Medical services;Stock markets;Informatics","cryptography;decision making;Internet;stock markets","crypto-governance perspective;designing crypto-governance;stock exchange;self-regulated trading system;derivatives trading;exchange market;cryptographic-protected trade platform;trade parties","","2","","31","IEEE","6 Apr 2020","","","IEEE","IEEE Conferences"
"Review of Blockchain Potential Applications in the Electricity Sector and Challenges for Large Scale Adoption","M. Nour; J. P. Chaves-Ávila; Á. Sánchez-Miralles","Department of Electrical Engineering, Faculty of Energy Engineering, Aswan University, Aswan, Egypt; ICAI School of Engineering, Institute for Research in Technology (IIT), Comillas Pontifical University, Madrid, Spain; ICAI School of Engineering, Institute for Research in Technology (IIT), Comillas Pontifical University, Madrid, Spain","IEEE Access","9 May 2022","2022","10","","47384","47418","Blockchain technology applications in the electricity sector are getting considerable attention from both academia and industry. It is expected that blockchain will play an important role in the transition to the smart grid. The blockchain applications in the electricity sector can be classified to optimizing existing processes like metering and billing or grid management and using blockchain for emerging applications such as creating new platforms for value exchange like peer-to-peer (P2P) energy trading. This paper briefly introduces the fundamentals of blockchain technology, such as different types of blockchain networks and consensus mechanisms, in addition to introducing a few blockchain platforms that are widely used in current studies, projects, and startups or may have future potential in the electricity sector applications. The contribution of this paper is to provide a review of potential applications of blockchain in many electricity sector use cases, and they are categorized into eight categories such as P2P energy trading, wholesale markets, retail markets, metering and billing, trading of renewable energy certificates (RECs) and carbon credits, electric mobility, enhancement of power system cyber security, investments in renewable energy sources (RESs), and power system operation and management. Moreover, examples of research studies, pilot projects, industrial projects, startups, or companies investigating the blockchain capabilities at each potential application are introduced. Furthermore, the studies presented in each use case are compared to clarify and highlight the blockchain functions and involved actors. Finally, the paper discusses the challenges that blockchain technology is facing that obstruct large-scale adoption in different sectors and in the electricity sector specifically and potential solutions to these challenges that are being developed.","2169-3536","","10.1109/ACCESS.2022.3171227","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9765489","Blockchain applications;distributed ledger technologies;distributed ledger technologies applications;peer-to-peer energy trading;local electricity markets;electric vehicles;smart grid","Blockchains;Power systems;Electric potential;Peer-to-peer computing;Investment;Industries;Companies","blockchains;power markets;power system economics;power system management;power system security","grid management;peer-to-peer energy trading;consensus mechanisms;electricity sector applications;P2P energy trading;carbon credits;electric mobility;blockchain function capability platforms;RES;renewable energy sources;power system management;REC;renewable energy certificates;power system cyber security enhancement","","2","","185","CCBY","29 Apr 2022","","","IEEE","IEEE Journals"
"An Updated Survey on the Convergence of Distributed Ledger Technology and Artificial Intelligence: Current State, Major Challenges and Future Direction","J. S. Bellagarda; A. M. Abu-Mahfouz","Department of Electrical, Electronic and Computer Engineering, University of Pretoria, Pretoria, South Africa; Council for Scientific and Industrial Research (CSIR), Pretoria, South Africa","IEEE Access","17 May 2022","2022","10","","50774","50793","In recent times, Artificial Intelligence (AI) and Distributed Ledger Technology (DLT) have become two of the most discussed sectors in Information Technology, with each having made a major impact. This has generated space for further innovation to occur in the convergence of the two technologies. In this paper, we gather, analyse, and present a detailed review of the convergence of AI and DLT in a vice versa manner. We review how AI is impacts DLT by focusing on AI-based consensus algorithms, smart contract security, selfish mining, decentralized coordination, DLT fairness, non-fungible tokens, decentralized finance, decentralized exchanges, decentralized autonomous organizations, and blockchain oracles. In terms of the impact DLT has on AI, the areas covered include AI data privacy, explainable AI, smart contract-based AIs, parachains, decentralized neural networks, Internet of Things, 5G technology and data markets, and sharing. Furthermore, we identify research gaps and discuss open research challenges in developing future directions.","2169-3536","","10.1109/ACCESS.2022.3173297","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9770802","Artificial intelligence;distributed ledger technology;blockchain technology;machine learning","Distributed ledger;Artificial intelligence;Convergence;Blockchains;Internet of Things;Focusing;Bitcoin","5G mobile communication;blockchains;data mining;data privacy;electronic money;Internet of Things;learning (artificial intelligence);neural nets","AI data privacy;explainable AI;smart contract-based AIs;decentralized neural networks;data markets;distributed ledger technology;artificial intelligence;Information Technology;AI-based consensus algorithms;smart contract security;decentralized coordination;DLT fairness;decentralized finance;decentralized autonomous organizations;selfish mining;Internet of Things;5G technology;blockchain oracles","","1","","140","CCBY","9 May 2022","","","IEEE","IEEE Journals"
"From laboratory education to laboratory edu-action: evaluation of a redesigned lab course for prospective technology teachers and resulting demands for cyber-physical ‘remotification’","J. Franuszkiewicz; S. Heix; S. Frye; T. Haertel; C. Terkowsky","Center for Higher Education, TU Dortmund University, Dortmund, Germany; Center for Higher Education, TU Dortmund University, Dortmund, Germany; Center for Higher Education, TU Dortmund University, Dortmund, Germany; Center for Higher Education, TU Dortmund University, Dortmund, Germany; Center for Higher Education, TU Dortmund University, Dortmund, Germany","2019 5th Experiment International Conference (exp.at'19)","21 Oct 2019","2019","","","128","132","Laboratory courses have become an integral part of engineering education worldwide. Moreover, `megatrends' such as globalization, demographic change, and increasing digitalization are key drivers of flux in the areas of people, technology, and organization and thus also have an impact on laboratory education, especially in the field of engineering. These fast moving changes require that prospective workers as well as teachers possess a higher level of independency and responsibility. This raises the question how the related needed self-learning competencies can be nurtured and developed during study time. The paper presents first results of a qualitative evaluation of a redesigned laboratory course for prospective technology teachers based on essential principles of modern laboratory didactics in order to allow students to experiment more actively and learn in a more self-directed way. As evaluation method, guided expert interviews were chosen as the most appropriate approach. The main result is that self-directed laboratory learning helps students to learn taking over more responsibility for their own learning processes and successes. Moreover, it can increase students' motivation to learn. Finally, to reduce students' attendance obligation and to foster self-directed learning as a precondition for lifelong learning, the deployment and implementation of VISIR, a remotely accessible online experimentation facility, will take place during the first quarter of 2019. The paper closes with further research questions on the digital transformation and its impact on designing online experimentation learning by deploying cyber-physical `remotification'.","","978-1-7281-3637-0","10.1109/EXPAT.2019.8876476","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8876476","self-directed learning;redesigning a lab course;qualitative evaluation;cyber-physical laboratories;digital transformation;online experimentation","Interviews;Organizations;Engineering education;Globalization;Media","computer aided instruction;educational courses;engineering education;Internet;laboratories;student experiments;technology management","laboratory education;laboratory edu-action;prospective technology teachers;cyber-physical remotification;laboratory courses;engineering education;self-learning competencies;evaluation method;self-directed laboratory learning;lifelong learning;lab course redesign;laboratory didactics;VISIR;online experimentation facility","","1","","19","IEEE","21 Oct 2019","","","IEEE","IEEE Conferences"
"A Blockchain based Autonomous Decentralized Online Social Network","N. Chen; D. S. -Y. Cho","Department of Electrical and Electronic Engineering, Faculty of Science and Engineering, University of Nottingham Ningbo China, Ningbo, China; Department of Electrical and Electronic Engineering, Faculty of Science and Engineering, University of Nottingham Ningbo China, Ningbo, China","2021 IEEE International Conference on Consumer Electronics and Computer Engineering (ICCECE)","5 Feb 2021","2021","","","186","190","Online social networks (OSN) are becoming more important in people's daily life, however, all popular OSNs are centralized, and this raises a series of security, privacy and management issues. A decentralized architecture based on blockchain technology provides the ability to solve above issues. In this paper, an OSN service is developed based on blockchain technology in order to make it operate decentralized. Large volume of data normally required low-security requirements can be stored in Interplanetary Filesystem (IPFS) to make data decentralized. A decentralized autonomous organization is developed for user autonomy, users can self-manage the OSN in a democratic way.","","978-1-7281-8319-0","10.1109/ICCECE51280.2021.9342564","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9342564","Blockchain;Online Social Network (OSN);Decentralized Autonomous Organization (DAO)","Privacy;Social networking (online);Conferences;Blockchain;Organizations;Security;Consumer electronics","blockchains;data privacy;social networking (online)","decentralized autonomous organization;autonomous decentralized online social network;privacy;management issues;decentralized architecture;blockchain;OSN service;low-security requirements;interplanetary filesystem;IPFS","","1","","8","IEEE","5 Feb 2021","","","IEEE","IEEE Conferences"
"Blockchain Technology:– A New Technology for Creating Distributed and Trusted Computing Environment","A. K. Tyagi; S. Chandrasekaran; N. Sreenath","School of Computer Science and Engineering, Vellore Institute of Technology, Chennai, Tamilnadu, India; Department of Computer Science & Engineering, Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences (SIMATS), Chennai, Tamil Nadu, INDIA; Department of Computer Science and Engineering, Puducherry Technological University, Puducherry, India","2022 International Conference on Applied Artificial Intelligence and Computing (ICAAIC)","16 Jun 2022","2022","","","1348","1354","In these (several) past decades (1950 to 2018), the world is moved from wired things to wireless devices or electronics devices/ technology. This increment or development in networking technology faces several incidents like issues of leaking privacy of users, issue of surveillance and security breaches in systems. This paper discusses about compromising users” privacy as various issues, challenges and questions (raised in existed models). Note that due to these issues or breaches or loopholes, unknown users/ third-parties collect and control large amounts of personal data, also they may use this data against respective user, for example, for financial use, for blackmailing, etc. Hence, this article discusses about a new technology (i.e., Blockchain), on which every industry is trusting on. How this new technology has been growing as fastest technology only in the past decade to build among users and organization? Such answers have been given in this paper. Blockchain provides decentralized, distributed personal data management system which ensures users own and control their data or protect user's data any kind of breaches.","","978-1-6654-9710-7","10.1109/ICAAIC53929.2022.9792702","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9792702","Blockchain Technology;Bit Coin;Cryptocurrency;Security;Trust;Real-World applications","Wireless communication;Industries;Privacy;Trusted computing;Surveillance;Organizations;Blockchains","blockchains;data protection;distributed processing;trusted computing","blockchain;trusted computing environment;wired things;wireless devices;privacy leakage;surveillance;security breaches;distributed personal data management system;distributed computing;electronics devices;networking technology;user privacy;user data protection","","1","","21","IEEE","16 Jun 2022","","","IEEE","IEEE Conferences"
"IPFS and Blockchain Based Reliability and Availability Improvement for Integrated Rivers’ Streamflow Data","M. H. Mughal; Z. A. Shaikh; K. Ali; S. Ali; S. Hassan","Department of Computer Science, Sukkur IBA University, Sukkur, Pakistan; Department of Computer Science, Mohammad Ali Jinnah University, Karachi, Pakistan; Department of Computer Science, Sukkur IBA University, Sukkur, Pakistan; Department of Computer Science, Sukkur IBA University, Sukkur, Pakistan; Department of Computer Science, Sukkur IBA University, Sukkur, Pakistan","IEEE Access","14 Jun 2022","2022","10","","61101","61123","The streamflow data acquisition with various techniques and dispersing of River’s locations demand improvement of reliability and frequency aspects. One of the reliability measurement characteristics is data ownership. The authority sharing data authorizes its quality and is also responsible for the wrong decision triggered by incorrect data. The consensus-based crowdsourcing data contribute to aggregated streamflow records’ generation. The aggregated streamflow records are stored on a streamflow ledger, a Hyperledger fabric-based ledger for rivers’ streamflow data. In contrast, InterPlanery File System (IPFS) distributed file storage system is helpful for policy documents and distribution scheme storage. Blockchain-based techniques for improvement of data-intensive decision support systems. The distributed river streamflow data measured and shared by distributed gauging officials and stored on the blockchain-based distributed storage system contributes to scalability, transparency, availability, and accessibility of shareable data. All stakeholders require quality data with trust and provenance management through a persistent, linked, and immutable copy of data. This technique resolves the conflict or disagreement on streamflow optimization and flood mitigation decisions. In a nutshell, the blockchain technology with IPFS for off-chain large files storage would contribute twofold to irrigation systems and flood mitigation domains. On one side, the streamflow data aggregation has consensus from streamflow assessment for software agents and stakeholders. Secondly, the persistent data copy is shared among distributed stakeholders using IPFS-based content addressed file-sharing protocol for a common operating picture to improve effective collaboration and coordination among managers of irrigation systems and flood mitigation activities.","2169-3536","","10.1109/ACCESS.2022.3178728","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9784850","IPFS;blockchain;irrigation system;Internet of Things;trust;reliability;consensus","Stakeholders;Monitoring;Rivers;Blockchains;Irrigation;Wireless sensor networks;Floods","data acquisition;data integrity;decision support systems;floods;geophysics computing;irrigation;optimisation;peer-to-peer computing;protocols;rivers;software agents;storage management","integrated rivers;streamflow data acquisition;frequency aspects;reliability measurement characteristics;data ownership;wrong decision;incorrect data;consensus-based crowdsourcing data;aggregated streamflow records;streamflow ledger;distribution scheme storage;blockchain-based techniques;data-intensive decision support systems;distributed river streamflow data;distributed gauging officials;shareable data;quality data;streamflow optimization;flood mitigation decisions;blockchain technology;files storage;irrigation systems;streamflow data aggregation;streamflow assessment;persistent data copy;distributed stakeholders;IPFS-based content;file-sharing protocol;river locations;hyperledger fabric-based ledger;interplanery file system distributed file storage system;IPFS-based content addressed file-sharing protocol","","1","","55","CCBYNCND","30 May 2022","","","IEEE","IEEE Journals"
"M2M Learning Environment for Electric Applications","D. Assante; R. Crucco","Faculty of Engineering, International Telematic University UNINETTUNO, Roma, Italy; Faculty of Engineering, International Telematic University UNINETTUNO, Roma, Italy","2019 IEEE Global Engineering Education Conference (EDUCON)","30 May 2019","2019","","","1518","1522","Internet of things technologies and autonomous communicating smart devices, combined with blockchain technologies are the pillars for the implementation of a Machine-to-Machine (M2M) economy. In this paper we describe a M2M learning environment, representing an electric context where different energy providers and electric autonomous vehicles can interact. Economic operations are implemented thought the IOTA cryptocurrency, allowing to learn in deep the implementation of the transactions and the blockchain technology underlying the M2M scenario.","2165-9567","978-1-5386-9506-7","10.1109/EDUCON.2019.8725151","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8725151","Internet of Things;Machine2Machine;Blockchain;Cryptocurrency","Blockchain;Proof of work;Databases;Bitcoin;Internet of Things;Economics","computer aided instruction;Internet of Things;machine-to-machine communication","autonomous communicating smart devices;blockchain technology;M2M learning environment;electric context;electric autonomous vehicles;electric applications;Internet of things technologies;machine-to-machine economy;economic operations;IOTA cryptocurrency","","1","","21","IEEE","30 May 2019","","","IEEE","IEEE Conferences"
"Unchain or Block the Hype? : Decision Drivers, Success Factors, and Perspectives for Blockchain Adoption","C. Pautasso; O. Zimmermann; L. Zhu; T. Bocek; X. Larrucea","University of Lugano; University of Applied Sciences of Eastern Switzerland; CSIRO; University of Applied Sciences, Rapperswil, Switzerland; TECNALIA","IEEE Software","21 Aug 2020","2020","37","5","97","103","Cesare Pautasso: Let's open the discussion on the business level. Generally speaking, blockchains promise to fundamentally transform processes and accelerate the digital transformation, but what is the killer application for the blockchain?","1937-4194","","10.1109/MS.2020.2999989","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9173636","","Blockchain;Smart contracts;Companies;Cryptocurrency;Software","","","","1","","14","IEEE","21 Aug 2020","","","IEEE","IEEE Magazines"
"DECENT: An Ontology for Decentralized Governance in the Renewable Energy Sector","F. Kaya; J. Gordijn","Department of Computer Science, Vrije Universiteit, The Netherlands, Amsterdam, The Netherlands; Department of Computer Science, Vrije Universiteit, The Netherlands, Amsterdam, The Netherlands","2021 IEEE 23rd Conference on Business Informatics (CBI)","19 Nov 2021","2021","01","","11","20","The energy sector is a complex ecosystem in which many actors participate. In the EU, the energy sector is changing significantly as part of the energy transition. One important change is decentralization of energy, for example the bilateral trade of energy between households generating energy by solar panels and consuming energy. A key question is how to design the decentralized governance structure of such an ecosystem. We propose the DECENT (decentralized) ontology, which results from an extensive literature study in the field of decentralized governance in the energy sector, which allows to describe governance in ecosystems in a structured way. Its intended user-base are business developers and ecosystem designers. The DECENT ontology provides the terminology to represent and analyze important governance constructs for these stakeholders. We demonstrate the practical use of the ontology by means of a case study about peer-to-peer energy trading.","2378-1971","978-1-6654-2069-3","10.1109/CBI52690.2021.00012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9610686","Ontology;Decentralization;Renewable Energy;Governance;Ecosystem","Renewable energy sources;Terminology;Computational modeling;Instruments;Ecosystems;Ontologies;Peer-to-peer computing","business data processing;energy management systems;government data processing;ontologies (artificial intelligence);peer-to-peer computing;renewable energy sources","decentralized governance structure;DECENT ontology;governance constructs;peer-to-peer energy trading;renewable energy sector;complex ecosystem;energy transition;solar panels;consuming energy;decentralized ontology;business developers","","1","","68","IEEE","19 Nov 2021","","","IEEE","IEEE Conferences"
